family,level,instance,algorithm,colors_used,execution_time,valid,error,num_vertices,num_edges,density,avg_degree,metadata
futoshiki,medium,futoshiki_medium_1,welsh_powell,8,0.00010689999908208847,True,,36,180,0.2857142857142857,10.0,"{""size"": 6, ""num_inequalities"": 6}"
futoshiki,medium,futoshiki_medium_1,smallest_last,8,0.00038770001265220344,True,,36,180,0.2857142857142857,10.0,"{""size"": 6, ""num_inequalities"": 6}"
futoshiki,medium,futoshiki_medium_1,largest_first,8,3.0499999411404133e-05,True,,36,180,0.2857142857142857,10.0,"{""size"": 6, ""num_inequalities"": 6}"
futoshiki,medium,futoshiki_medium_1,iterated_greedy,7,0.00014250000822357833,True,,36,180,0.2857142857142857,10.0,"{""size"": 6, ""num_inequalities"": 6}"
futoshiki,large,futoshiki_large_0,greedy,8,3.860000288113952e-05,True,,49,294,0.25,12.0,"{""size"": 7, ""num_inequalities"": 7}"
futoshiki,large,futoshiki_large_0,dsatur,7,0.00030009998590685427,True,,49,294,0.25,12.0,"{""size"": 7, ""num_inequalities"": 7}"
futoshiki,large,futoshiki_large_0,welsh_powell,8,0.00018759997328743339,True,,49,294,0.25,12.0,"{""size"": 7, ""num_inequalities"": 7}"
futoshiki,large,futoshiki_large_0,smallest_last,8,0.0007793999975547194,True,,49,294,0.25,12.0,"{""size"": 7, ""num_inequalities"": 7}"
futoshiki,large,futoshiki_large_0,largest_first,8,5.5800017435103655e-05,True,,49,294,0.25,12.0,"{""size"": 7, ""num_inequalities"": 7}"
futoshiki,large,futoshiki_large_0,iterated_greedy,8,0.00024309998843818903,True,,49,294,0.25,12.0,"{""size"": 7, ""num_inequalities"": 7}"
kakuro,small,kakuro_small_0,greedy,5,2.1500018192455173e-05,True,,48,109,0.09663120567375887,4.541666666666667,"{""rows"": 8, ""cols"": 8}"
kakuro,small,kakuro_small_0,dsatur,5,0.00014620000729337335,True,,48,109,0.09663120567375887,4.541666666666667,"{""rows"": 8, ""cols"": 8}"
kakuro,small,kakuro_small_0,welsh_powell,6,8.719999459572136e-05,True,,48,109,0.09663120567375887,4.541666666666667,"{""rows"": 8, ""cols"": 8}"
kakuro,small,kakuro_small_0,smallest_last,5,0.0004067000118084252,True,,48,109,0.09663120567375887,4.541666666666667,"{""rows"": 8, ""cols"": 8}"
kakuro,small,kakuro_small_0,largest_first,5,3.090000245720148e-05,True,,48,109,0.09663120567375887,4.541666666666667,"{""rows"": 8, ""cols"": 8}"
